BBL,source
1005580010,DHCR
1005590009,DHCR
1005677501,DHCR
1005670005,DHCR
1005680004,DHCR
1005680006,DHCR
1005690003,DHCR
1005690005,DHCR
1008427501,DHCR
1008460001,DHCR
1005450059,DHCR
1004570005,DHCR
1004590007,DHCR
1005570011,DHCR
1005640019,DHCR
1008470016,DHCR
1008470024,DHCR
1005440047,DHCR
1005440045,DHCR
1005680033,DHCR
1005680031,DHCR
1005620001,DHCR
1005620044,DHCR
1005617502,DHCR
1005620040,DHCR
1005620035,DHCR
1005560015,DHCR
1005560028,DHCR
1004660056,DHCR
1004660054,DHCR
1004660054,DHCR
1004650013,DHCR
1004660047,DHCR
1004650020,DHCR
1004660044,DHCR
1004650021,DHCR
1004660043,DHCR
1004520001,DHCR
1004520054,DHCR
1004510014,DHCR
1004520053,DHCR
1004510016,DHCR
1004520052,DHCR
1004520051,DHCR
1004510018,DHCR
1004520050,DHCR
1004510019,DHCR
1004520049,DHCR
1004520048,DHCR
1004520047,DHCR
1004520046,DHCR
1004510023,DHCR
1004520044,DHCR
1004510024,DHCR
1004510025,DHCR
1004520043,DHCR
1004520040,DHCR
1004520039,DHCR
1004510032,DHCR
1005680016,DHCR
1005680018,DHCR
1005630043,DHCR
1005630037,DHCR
1005560075,DHCR
1004670056,DHCR
1004670055,DHCR
1004660016,DHCR
1004660018,DHCR
1004670050,DHCR
1004670049,DHCR
1004670048,DHCR
1004670047,DHCR
1004670035,DHCR
1004530001,DHCR
1004530011,DHCR
1004530011,DHCR
1004520009,DHCR
1004520011,DHCR
1004520015,DHCR
1004520015,DHCR
1004520017,DHCR
1004520018,DHCR
1004520018,DHCR
1004520019,DHCR
1004520021,DHCR
1004520022,DHCR
1004520023,DHCR
1004520024,DHCR
1004520025,DHCR
1004520026,DHCR
1004520027,DHCR
1004520028,DHCR
1005690008,DHCR
1005697501,DHCR
1005640001,DHCR
1005570017,DHCR
1005640054,DHCR
1005560052,DHCR
1005580036,DHCR
1004680001,DHCR
1004680051,DHCR
1004670020,DHCR
1004680049,DHCR
